beatmap_id	score_count
4803734	55675
4803942	48585
1893461	47938
2596018	42853
4905645	40391
2118443	37844
1911308	36135
131891	35580
774965	34541
2060305	33092
2058788	32242
1988753	32176
1969946	31221
2245774	31174
1764213	30821
2659911	30610
1843653	29563
1869933	28864
4857997	28393
1872396	28377
104229	27710
2444149	27404
2014469	27301
2461085	27248
2201460	27171
2596015	27129
2246465	27100
2964222	26973
1642274	26759
2245783	26551
1762724	26528
4861021	25872
2237467	25855
1970829	25713
422328	25458
2102287	25155
2514777	25031
1351114	24768
1655981	24719
1695382	24620
2097898	24613
2102292	24524
814293	24394
4791387	24277
315	24135
1619555	24061
2444148	24022
2587891	24000
1897567	23918
1474956	23720
4874327	23706
954692	23686
1401254	23661
4905646	23533
808848	23496
787430	23200
2069841	23192
1627148	23180
2237466	23050
4905829	23036
2469345	22936
2025942	22900
40017	22665
4425879	22355
2486881	22328
979155	22251
1844417	22241
983680	22073
1620144	21934
1556336	21904
1919312	21803
4922800	21787
4905934	21310
847314	21180
4869656	21073
2328680	20977
1262832	20820
1059894	20809
847313	20717
1474946	20570
1001682	20503
1860433	20487
4634775	20442
116128	20230
1816243	20096
2530810	19870
4849082	19707
1619564	19673
1909555	19550
1026729	19547
2964230	19212
1610745	19101
574471	19076
2222070	19030
4866852	18956
1762728	18936
2022718	18780
1033154	18600
2518847	18536
2201553	18527
714001	18495
1608832	18485
901854	18461
816600	18451
2025938	18175
2330357	18068
4839948	17725
4883846	17619
1264070	17551
1955170	17501
1534523	17491
1805627	17418
1264972	17390
2201876	17350
932223	17350
2129143	17268
1218337	17236
2099567	17210
2615748	17204
1690355	17200
2060302	17186
795627	17176
1711830	17165
1119026	16977
1892257	16952
1053520	16919
4834702	16894
1569904	16886
252238	16753
1917158	16728
2606880	16685
2360153	16636
2165271	16564
1843589	16395
930249	16365
929999	16340
1385398	16324
2245772	16323
3257738	16304
1621068	16302
2518845	16273
736215	16230
2328679	16188
4883762	16151
1136506	16142
161787	16105
2054965	16102
1595191	16092
1570203	16084
1783812	16023
2410945	16003
2022201	15998
1373950	15947
1492011	15922
1925194	15888
794670	15885
2484994	15873
4798302	15805
953586	15785
1626537	15634
4638742	15588
4415584	15552
1571309	15484
131564	15469
2360152	15467
519080	15394
781124	15391
933875	15360
676172	15300
1749322	15300
1829038	15206
1162425	15181
1115737	15103
328472	14991
2684855	14971
4637979	14958
4630407	14944
1627157	14939
1988748	14860
1725588	14853
2388297	14849
1256809	14847
1612454	14841
1632673	14834
1956123	14788
3018109	14747
1726994	14733
776951	14731
1762729	14691
1763013	14665
259	14631
994495	14627
2150733	14616
1932649	14606
1059390	14567
735272	14545
2044368	14508
780914	14482
552068	14419
1069081	14340
1385396	14314
890190	14295
1494828	14240
2245768	14208
1514898	14174
1030374	14158
2014470	14157
1993380	14154
4876550	14094
884664	14071
111680	14044
1489207	14040
4836714	14034
1970565	14031
2025941	13965
4792247	13963
2809623	13955
1586453	13941
2603107	13928
2316176	13918
1961271	13904
3628459	13864
2118444	13831
2404778	13831
164020	13824
2131813	13805
784791	13746
1555610	13739
1032126	13738
2020258	13678
4883679	13662
1623092	13647
4864861	13638
1690353	13591
1226524	13562
4786514	13552
2521210	13492
638493	13465
1029562	13448
550235	13433
1059388	13431
2546607	13372
827803	13356
1396152	13273
1869935	13270
2431373	13262
2118440	13238
1402392	13218
2150737	13207
3746239	13198
221777	13176
1681634	13134
1068383	13131
4874355	13108
1018869	13086
734339	13074
3257742	13058
949011	13046
1097543	13024
1046339	13017
724015	12988
4864874	12956
888383	12947
969681	12938
2164997	12916
4833931	12865
1951733	12818
1610022	12793
790048	12785
1983406	12760
3884667	12707
1706210	12694
637549	12664
1487213	12616
2204234	12598
1028733	12562
2860521	12561
486513	12549
827932	12516
1762727	12512
1973410	12472
4852491	12463
741477	12462
2431320	12457
910147	12448
2023927	12413
614323	12412
1860169	12405
696225	12394
2240526	12373
2779000	12320
1826438	12291
1055147	12273
5014951	12253
2048477	12241
1968445	12234
2084862	12193
2226722	12181
2778999	12181
1701404	12179
1483372	12175
909032	12156
2778998	12153
2802630	12123
1610994	12108
2410948	12081
848345	12068
555797	12055
1046830	12053
2327792	11992
4925156	11977
1981053	11973
905800	11964
658127	11912
1675844	11875
1241370	11844
1095854	11838
2118445	11825
736214	11818
1559974	11805
1783725	11798
1070639	11781
1947968	11774
869197	11727
2410947	11698
136400	11685
1258642	11627
114635	11607
1915794	11602
4415585	11593
817929	11588
2102289	11584
2129145	11575
1476582	11574
915210	11571
1047758	11563
2325387	11554
2596017	11550
1846226	11542
3881559	11540
2514776	11509
817174	11501
1405981	11498
1592916	11494
2185824	11458
1649842	11449
1091249	11440
2166311	11438
738063	11429
2502889	11418
816327	11388
1663107	11385
1836593	11361
3007920	11355
983692	11344
633993	11313
1128411	11307
3121360	11287
2586235	11287
553131	11228
2237470	11217
1263997	11193
4850780	11164
4855807	11158
2609733	11149
2485565	11147
1821081	11144
4898204	11143
644971	11108
786867	11104
1962161	11102
1726474	11101
4818662	11093
794779	11090
1805910	11087
1593361	11085
1158325	11050
1605598	11048
21010	11045
1474795	11037
1343792	11020
725718	11020
4834692	11019
988793	11007
2861378	10990
1149638	10931
1621175	10930
2468866	10924
3410653	10901
2034983	10895
651744	10852
1935596	10849
713935	10846
1419243	10846
968065	10829
83975	10821
4415495	10815
764082	10807
1762730	10804
1848919	10791
1810188	10788
803704	10756
1618411	10749
1893432	10732
1262434	10719
1675842	10716
1857519	10705
47152	10699
2774812	10698
1897577	10691
2245766	10691
1675834	10688
1255789	10685
1141858	10668
4917244	10665
1092090	10654
1358299	10652
2269172	10644
1561394	10625
1613232	10614
1846237	10603
2349467	10587
1583228	10587
4791394	10580
4793476	10559
1828346	10559
3665005	10557
569636	10543
746737	10535
4921741	10531
888010	10513
1675830	10491
1612453	10481
1264763	10430
1065224	10405
457257	10404
917129	10402
2250747	10398
1385399	10396
207659	10392
1706834	10368
972691	10325
2609731	10318
791274	10310
1170505	10273
2474570	10261
1621319	10261
2519704	10254
2170029	10247
2469346	10236
1062394	10234
1944926	10232
1385397	10217
1255495	10217
1992711	10214
1988751	10195
821070	10172
1695991	10166
2304259	10162
3970329	10148
1659421	10140
1645699	10136
1775270	10131
816734	10116
1797549	10115
221950	10111
4921665	10091
4797838	10085
1969005	10080
1988750	10063
991733	10057
1990449	10048
2116804	10043
4704234	10040
1783813	10039
736213	10035
1770368	9986
899732	9981
1783814	9981
4867167	9973
547566	9971
869222	9947
1649528	9943
2226486	9943
3257737	9938
827488	9930
1476606	9913
3937149	9898
2156842	9892
853926	9886
1829131	9840
4921971	9838
3873445	9835
46827	9823
1588369	9818
1849273	9814
4836716	9812
4791385	9788
786018	9787
1149713	9777
2964220	9774
4904114	9771
4834695	9769
2338610	9768
1816113	9765
1614054	9753
1281115	9728
2564395	9723
4808501	9720
2044362	9707
1675832	9688
2237465	9688
1909554	9676
2330482	9669
433005	9667
974142	9662
163054	9660
2336704	9648
2449792	9635
722238	9625
1623093	9613
129891	9606
4064320	9604
4921872	9600
1786111	9592
1849580	9574
1697722	9572
1954900	9555
2223144	9534
1797542	9516
801158	9483
2486606	9480
777074	9480
953394	9473
554519	9473
1554602	9430
1623285	9416
1643386	9406
2039543	9398
2222887	9395
4578043	9393
4791386	9384
1554502	9376
1298486	9374
509510	9344
898576	9341
1503470	9338
4794238	9335
2127114	9331
223397	9324
1754777	9313
820737	9311
804164	9306
1153219	9303
1752315	9301
1810150	9299
4971612	9280
1587909	9277
668662	9274
2347052	9250
4906012	9244
4924798	9240
1056207	9217
1262433	9209
2315558	9209
737100	9202
753445	9129
1103732	9126
4810017	9121
2197401	9103
4628575	9103
1298488	9097
1702172	9070
2096523	9063
853625	9045
72585	9043
2397136	9041
1797544	9027
2974590	9004
3601629	9003
2025940	8983
142954	8970
2188031	8953
2496721	8951
1149303	8936
1989718	8931
2347578	8927
2269544	8923
1995061	8923
2231267	8917
1636104	8909
718156	8894
3874871	8886
126645	8882
1654579	8874
1675841	8868
1053232	8857
2419085	8825
323769	8816
3122809	8813
547598	8806
1412805	8805
4642440	8804
1655728	8802
397535	8801
1962182	8799
3299371	8790
2619743	8789
1192807	8784
1973474	8740
4874181	8728
4761695	8727
1610746	8722
2874944	8722
2030431	8706
1917082	8702
2480902	8700
3933758	8697
2726491	8696
1024480	8695
1045757	8690
1843593	8690
1649525	8685
701033	8685
1946909	8685
1129193	8677
147327	8667
1861487	8661
1762731	8656
1762733	8650
2335100	8643
2530755	8635
865344	8627
1321542	8624
3493583	8619
1420669	8617
2654458	8604
2726492	8602
4914437	8600
2078961	8593
290581	8582
1262009	8580
812590	8572
2132775	8571
1724319	8570
1400686	8566
2254470	8564
1752311	8562
950234	8548
2983479	8546
4303461	8543
1527747	8541
3666536	8538
1074378	8526
3798824	8521
1851299	8517
1492008	8513
4419660	8500
677872	8497
2684033	8495
3745820	8494
1474947	8493
93842	8489
1925409	8480
2590221	8472
1609741	8469
2444151	8461
1635388	8458
2527582	8441
1849505	8431
1158221	8429
256027	8421
850263	8421
889729	8421
2063622	8417
1607736	8404
855762	8393
2518844	8387
2349470	8384
4889331	8376
898106	8370
1989857	8370
1827323	8353
3229766	8353
2168768	8339
2201675	8337
453042	8319
4861214	8282
2790477	8282
1605148	8261
1114721	8256
961692	8237
172662	8235
1278814	8233
2988681	8229
87570	8221
2610039	8203
679131	8198
1811527	8193
2450629	8186
635679	8182
1797548	8179
4852495	8177
815857	8172
828806	8163
2844649	8161
4729584	8155
3217116	8134
1095855	8118
961907	8100
1269345	8098
1573320	8076
889632	8070
2033294	8059
1626530	8058
2245777	8054
151229	8054
2409643	8051
2222862	8049
1509460	8045
345099	8040
795810	8037
1651290	8025
3533716	8024
1786960	8021
128718	8018
4873640	8017
1405980	8016
1814702	8009
757823	8008
1945175	7990
1714637	7972
1720423	7966
335041	7945
2330438	7932
2505956	7925
4765046	7916
4900284	7913
2281075	7911
1643270	7910
872110	7907
5019869	7897
386728	7878
1821239	7859
663992	7852
335628	7851
647685	7847
992281	7846
1675840	7843
1758872	7840
713867	7836
655686	7832
809469	7832
742975	7829
1501472	7821
2227344	7820
791264	7818
970331	7809
1754659	7798
713442	7784
181253	7761
2619459	7759
1119043	7753
161902	7752
3623164	7751
778603	7746
1023307	7740
803402	7731
1575142	7724
785982	7722
847315	7710
1071416	7702
2281078	7701
2223259	7682
1201303	7674
3551549	7665
905745	7662
176960	7657
2604568	7652
757003	7651
1289926	7629
4443910	7621
3921750	7614
1043089	7602
2467121	7597
646713	7594
1142960	7588
1720903	7587
292574	7586
2477261	7581
663725	7577
1800249	7576
2245786	7571
1988911	7570
133938	7569
1932923	7565
832691	7558
675734	7536
4840821	7532
2482032	7529
4908212	7522
1139717	7518
1153237	7516
555965	7515
1693575	7514
1860991	7501
1551874	7493
3126758	7493
146372	7490
2039544	7485
1330828	7481
792989	7477
2045979	7476
1907933	7473
799913	7464
2719427	7462
2625911	7462
4803733	7461
1942218	7461
2194234	7455
4835650	7448
2060304	7437
124321	7436
2570594	7436
4796020	7424
2464479	7423
2040764	7407
1740092	7384
2461086	7383
2567509	7369
3648544	7366
4917671	7365
2659369	7344
1803763	7344
2507884	7343
1515526	7336
3046792	7335
1159687	7335
4085748	7333
877625	7333
999944	7324
397536	7314
1736329	7306
1712377	7300
946082	7291
652234	7288
2404837	7287
1869937	7285
834589	7285
1873147	7282
1083052	7278
861164	7269
1453152	7260
1572868	7252
1675838	7252
820619	7251
1628131	7243
2327794	7242
932185	7236
2534559	7235
339055	7223
2813781	7223
1289675	7221
924759	7217
2447121	7217
1211828	7193
2726346	7193
